City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Busselton,8,AU,1554540613,34,-33.64,115.35,69.01,14.92
Pangnirtung,76,CA,1554540715,77,66.15,-65.72,12.4,3.96
Kapaa,1,US,1554540527,83,22.08,-159.32,71.6,5.82
Sobolevo,0,RU,1554540716,65,54.43,31.9,48.94,9.78
Bluff,20,AU,1554540717,42,-23.58,149.07,78.28,6.76
Araouane,0,ML,1554540717,25,18.9,-3.53,76.48,13.8
Ribeira Grande,75,PT,1554539400,82,38.52,-28.7,60.8,19.46
Arraial do Cabo,0,BR,1554540717,92,-22.97,-42.02,78.46,11.01
Kavieng,92,PG,1554540718,100,-2.57,150.8,83.23,11.45
Hlobyne,0,UA,1554540718,67,49.39,33.25,51.28,6.42
Nikolskoye,0,RU,1554540636,32,59.7,30.79,53.01,6.71
Albany,90,US,1554540574,86,42.65,-73.75,36.0,2.95
Vieux-Habitants,0,GP,1554537600,83,16.06,-61.77,71.6,17.05
Clyde River,90,CA,1554537600,84,70.47,-68.59,-0.41,29.97
Puerto Ayora,68,EC,1554540719,100,-0.74,-90.35,77.38,6.98
Trinidad,0,UY,1554540526,86,-33.52,-56.9,46.33,2.84
At-Bashi,12,KG,1554540646,96,41.17,75.81,37.0,7.43
Yeppoon,24,AU,1554537600,61,-23.13,150.74,77.0,9.17
Resistencia,0,AR,1554537600,100,-27.45,-58.99,60.8,4.7
Egvekinot,0,RU,1554540721,61,66.32,-179.17,3.13,2.28
Edd,0,ER,1554540722,37,13.93,41.69,96.28,1.28
Hobart,75,AU,1554540700,48,-42.88,147.33,60.8,9.17
Thompson,5,CA,1554537600,76,55.74,-97.86,-5.81,2.62
Esperance,40,TT,1554540622,94,10.24,-61.45,75.99,5.82
Cape Town,0,ZA,1554540366,52,-33.93,18.42,72.0,4.7
Jamestown,0,AU,1554540723,43,-33.21,138.6,66.67,3.74
Kaitangata,0,NZ,1554540638,63,-46.28,169.85,48.99,8.01
Ushuaia,90,AR,1554537600,69,-54.81,-68.31,37.4,9.17
Coquimbo,0,CL,1554537600,72,-29.95,-71.34,59.0,6.93
Nantucket,90,US,1554540724,87,41.28,-70.1,44.01,10.29
Palembang,75,ID,1554537600,66,-2.99,104.76,87.8,10.29
Fayaoue,0,NC,1554540725,100,-20.65,166.53,79.0,15.82
Samarai,92,PG,1554540725,100,-10.62,150.67,76.84,5.86
Lasa,20,CY,1554540351,72,34.92,32.53,66.2,9.17
Ponta do Sol,88,BR,1554540726,98,-20.63,-46.0,65.95,3.18
Nome,90,US,1554540450,94,30.04,-94.42,70.0,3.36
Klaksvik,24,FO,1554538800,75,62.23,-6.59,42.8,10.29
Kanigoro,44,ID,1554540727,91,-8.13,112.22,83.41,8.66
Barabinsk,0,RU,1554540727,45,55.35,78.35,50.47,12.91
Carnarvon,0,ZA,1554540728,53,-30.97,22.13,63.25,10.45
Lorengau,20,PG,1554540728,99,-2.02,147.27,83.23,3.96
College,1,US,1554540632,46,64.86,-147.8,32.0,8.05
Mataura,0,NZ,1554540604,76,-46.19,168.86,46.0,4.63
Denia,0,ES,1554540667,41,38.84,0.11,57.99,8.99
Payo,24,ID,1554540729,82,-3.75,103.64,86.11,2.17
Grand-Bourg,0,GP,1554537600,83,15.88,-61.31,71.6,20.85
Yellowknife,5,CA,1554540505,77,62.45,-114.38,5.0,6.93
Wenshang,0,CN,1554540730,51,35.72,116.48,70.81,12.46
Hamilton,90,CA,1554540623,100,43.26,-79.87,41.0,8.05
Kahului,40,US,1554540636,77,20.89,-156.47,72.0,6.93
Sitka,68,US,1554540324,73,37.17,-99.65,61.0,18.99
Alta Floresta,100,BR,1554540732,98,-9.87,-56.08,73.87,1.72
Acajutla,8,SV,1554540732,79,13.59,-89.83,73.78,3.51
Kjollefjord,80,NO,1554540732,88,70.95,27.35,32.92,17.27
Langsa,0,ID,1554540733,80,4.47,97.97,83.32,2.51
Itaporanga,76,BR,1554540733,94,-7.3,-38.15,67.48,3.18
Cauquenes,0,CL,1554540733,79,-35.97,-72.32,46.06,3.74
Upernavik,64,GL,1554540734,79,72.79,-56.15,28.69,17.83
Akureyri,90,IS,1554537600,59,65.68,-18.09,35.6,8.05
Dikson,88,RU,1554540734,100,73.51,80.55,20.14,14.47
Buala,68,SB,1554540734,91,-8.15,159.59,82.42,4.52
Salalah,20,OM,1554537000,62,17.01,54.1,86.0,11.41
Serenje,92,ZM,1554540735,84,-13.23,30.22,72.25,6.98
Kaeo,92,NZ,1554539885,91,-35.1,173.78,57.0,5.64
Ulaangom,76,MN,1554540736,79,49.98,92.07,39.58,2.17
Buchanan,40,LR,1554537600,94,5.88,-10.05,75.2,4.7
Makakilo City,1,US,1554540428,73,21.35,-158.09,75.2,2.73
Akdepe,0,TM,1554537600,39,42.05,59.39,66.2,20.8
Beyneu,8,KZ,1554540737,71,45.32,55.19,57.4,15.37
Nicoya,44,CR,1554540386,88,10.15,-85.45,68.0,17.0
Extrema,40,BR,1554537600,100,-22.86,-46.32,71.6,2.39
Huarmey,0,PE,1554540738,88,-10.07,-78.15,59.83,1.95
East London,20,ZA,1554537600,72,-33.02,27.91,66.2,3.36
Cidreira,100,BR,1554540738,100,-30.17,-50.22,66.22,3.74
Porangatu,80,BR,1554540739,94,-13.44,-49.14,70.9,2.95
Banepa,75,NP,1554538800,87,27.63,85.52,60.8,2.24
Tuktoyaktuk,0,CA,1554540739,76,69.44,-133.03,-0.39,12.8
Atuona,8,PF,1554540740,95,-9.8,-139.03,83.68,15.03
Husavik,20,CA,1554540629,95,50.56,-96.99,23.0,3.4
Svobodnyy,80,RU,1554540617,92,53.85,40.53,37.0,1.01
Rochegda,0,RU,1554540741,65,62.67,43.41,43.45,2.51
Sarangani,36,PH,1554540741,98,5.4,125.46,82.15,8.21
Wuning,64,CN,1554540741,66,29.26,120.23,70.18,5.53
Tilichiki,48,RU,1554540742,100,60.47,166.1,26.44,3.18
Broome,75,GB,1554540731,81,52.47,1.45,46.99,9.17
Tasiilaq,92,GL,1554537000,50,65.61,-37.64,30.2,34.45
Doha,75,QA,1554538260,48,25.29,51.53,86.0,9.17
Mvuma,0,ZW,1554540743,43,-19.28,30.53,81.7,7.99
Mandiana,64,GN,1554540743,33,10.62,-8.7,90.7,3.74
La Ronge,75,CA,1554537600,73,55.1,-105.3,19.4,6.93
Brownwood,90,US,1554540665,88,31.71,-98.99,66.2,13.87
Qasigiannguit,0,GL,1554537000,71,68.82,-51.19,32.0,32.21
Jumla,88,NP,1554540745,93,29.28,82.18,42.1,1.72
Garissa,0,KE,1554540745,52,-0.46,39.64,90.97,6.08
Teguise,20,ES,1554537600,63,29.06,-13.56,62.6,12.75
Severo-Kurilsk,92,RU,1554540745,94,50.68,156.12,32.65,22.19
Castro,92,CL,1554537600,87,-42.48,-73.76,50.0,13.87
Kirkwall,20,GB,1554540323,93,58.98,-2.96,48.99,10.29
Souris,40,CA,1554540737,84,46.36,-62.25,32.0,10.29
Vila do Maio,40,CV,1554537600,73,15.13,-23.22,69.8,18.34
Namatanai,64,PG,1554540747,100,-3.66,152.44,80.8,6.64
Tingo Maria,64,PE,1554540748,93,-9.29,-76.01,64.6,1.72
Tubuala,40,PA,1554539449,83,9.52,-79.03,75.2,5.82
Nipawin,1,CA,1554537600,92,53.36,-104.02,24.8,4.7
Inongo,56,CD,1554540748,77,-1.93,18.29,85.12,2.39
Anadyr,0,RU,1554540156,84,64.73,177.51,8.6,8.95
Saskylakh,0,RU,1554540749,85,71.97,114.09,17.8,14.81
Macusani,44,PE,1554540750,99,-14.07,-70.43,48.67,1.16
Kletskaya,44,RU,1554539600,56,49.31,43.06,50.0,7.0
Pevek,44,RU,1554540750,82,69.7,170.27,7.9,8.43
Tyukalinsk,0,RU,1554540751,81,55.87,72.2,43.27,13.47
Galle,90,US,1554540748,100,29.74,-97.91,71.01,9.17
Pravda,20,BG,1554540743,54,43.16,25.69,60.01,9.17
Aras,64,YE,1554540752,38,14.28,44.38,73.42,3.06
Kiama,0,AU,1554540732,69,-34.67,150.86,77.0,4.41
Grindavik,40,IS,1554540717,80,63.84,-22.43,39.0,9.17
Barrow,0,AR,1554540753,77,-38.31,-60.23,51.73,14.7
Manaure,0,CO,1554540753,97,11.78,-72.45,78.1,17.83
Roald,75,NO,1554540458,81,62.58,6.12,48.99,16.11
Yumen,80,CN,1554540754,19,40.29,97.04,66.31,13.35
Sao Joao da Barra,8,BR,1554540754,96,-21.64,-41.05,80.98,12.8
Fairbanks,1,US,1554540511,46,64.84,-147.72,30.2,8.05
Goundam,0,ML,1554540755,23,16.42,-3.66,85.93,15.03
Saint-Joseph,75,FR,1554540659,62,43.56,6.97,57.99,8.05
Ilulissat,0,GL,1554537000,71,69.22,-51.1,32.0,32.21
Luderitz,0,NA,1554540557,90,-26.65,15.16,63.25,8.77
Ust-Tsilma,44,RU,1554540756,66,65.44,52.15,33.1,7.2
Whitecourt,36,CA,1554540623,88,54.14,-115.68,33.73,5.64
Linxia,44,CN,1554540756,14,35.6,103.21,61.99,7.99
Port Elizabeth,90,US,1554540756,100,39.31,-74.98,48.99,5.82
Talnakh,76,RU,1554540757,96,69.49,88.39,23.02,9.66
Fort Nelson,90,CA,1554537600,92,58.81,-122.69,23.0,3.36
Victoria,75,BN,1554537600,70,5.28,115.24,87.8,8.05
Longyearbyen,75,NO,1554537000,67,78.22,15.63,19.4,12.75
Ambilobe,8,MG,1554540759,83,-13.19,49.05,86.56,11.01
Lebu,75,ET,1554537600,49,8.96,38.73,73.4,14.99
Bambous Virieux,75,MU,1554540541,78,-20.34,57.76,82.4,11.41
Karratha,12,AU,1554540760,12,-20.74,116.85,101.5,7.87
Warmbad,0,DE,1554540724,54,50.67,13.08,66.0,12.75
Sao Filipe,0,CV,1554540760,99,14.9,-24.5,70.27,18.84
Vestmannaeyjar,56,IS,1554540760,97,63.44,-20.27,37.42,12.35
Soyo,40,AO,1554537600,79,-6.13,12.37,86.0,3.4
Puerto Quijarro,92,BO,1554540761,100,-19.0,-57.72,62.8,9.44
Ciro Marina,40,IT,1554537000,93,39.37,17.13,57.2,6.93
Saint-Pierre,12,FR,1554540725,81,48.95,4.24,50.0,13.87
Assiniboia,64,CA,1554540762,75,49.63,-105.99,43.18,12.91
Belmonte,88,PT,1554540378,87,40.36,-7.35,42.01,5.01
Zhigansk,0,RU,1554540763,60,66.77,123.37,30.13,3.18
Pisco,75,PE,1554537600,100,-13.71,-76.2,69.8,3.36
Chumikan,92,RU,1554540763,90,54.72,135.31,30.85,11.45
Meulaboh,8,ID,1554540764,100,4.14,96.13,85.66,5.86
Souillac,90,FR,1554540686,93,45.6,-0.6,48.2,5.82
Conceicao do Araguaia,32,BR,1554540610,94,-8.26,-49.26,73.33,2.62
Grand Gaube,75,MU,1554540541,78,-20.01,57.66,82.4,11.41
Chokurdakh,64,RU,1554540765,81,70.62,147.9,16.72,8.77
Mackay,1,CA,1554537600,93,53.65,-115.58,35.6,5.82
Ola,12,RU,1554540766,82,59.58,151.3,33.46,17.83
Dicabisagan,0,PH,1554540766,90,17.08,122.42,80.98,6.98
Monterrey,75,MX,1554540478,94,25.67,-100.32,68.0,3.06
Iqaluit,40,CA,1554540735,85,63.75,-68.52,12.2,6.2
Cockburn Town,68,TC,1554540767,98,21.46,-71.14,78.28,19.17
Taganak,75,PH,1554537600,74,6.08,118.3,86.0,10.29
Khani,75,GE,1554537600,67,41.96,42.96,57.2,11.41
Zharkent,76,KZ,1554540768,86,44.17,80.0,42.28,2.51
Cap-Haitien,36,HT,1554540769,96,19.76,-72.2,75.67,11.79
San Carlos de Bariloche,0,AR,1554537600,30,-41.13,-71.31,53.6,12.75
Dunedin,0,NZ,1554540246,65,-45.87,170.5,48.0,1.99
Dubai,0,AE,1554537600,17,25.27,55.3,98.6,9.17
Khatanga,80,RU,1554540770,88,71.98,102.47,23.83,17.05
Padang,75,ID,1554537600,88,-0.92,100.36,78.8,13.87
Tokur,12,RU,1554540771,57,53.13,132.9,30.13,6.2
Katobu,36,ID,1554540771,79,-4.94,122.53,87.46,8.32
Fengcheng,0,CN,1554540771,29,40.45,124.07,55.15,3.51
Charters Towers,20,AU,1554540772,76,-20.07,146.27,73.96,9.22
Taoudenni,8,ML,1554540772,38,22.68,-3.98,67.48,12.24
Port Alfred,12,ZA,1554540650,78,-33.59,26.89,69.01,5.01
Presidente Medici,92,BR,1554540747,97,-11.18,-61.9,67.3,6.87
Mmabatho,0,ZA,1554537600,60,-25.85,25.61,71.6,6.93
Tabou,32,CI,1554540773,100,4.42,-7.36,83.32,6.98
Kavaratti,0,IN,1554540773,100,10.57,72.64,85.66,9.33
Feltre,75,IT,1554540733,81,46.02,11.91,57.99,4.7
Abu Samrah,20,SY,1554540774,100,35.3,37.18,60.82,4.41
Buin,0,CL,1554540689,67,-33.73,-70.74,72.0,2.24
Norman Wells,5,CA,1554537600,61,65.28,-126.83,14.0,8.05
Kodiak,1,US,1554540723,100,39.95,-94.76,50.0,14.99
Santa Cruz del Norte,20,CU,1554540755,100,23.15,-81.92,71.6,2.24
Gubskaya,0,RU,1554540776,35,44.32,40.63,63.79,5.19
Hokitika,0,NZ,1554540776,100,-42.72,170.96,53.8,4.97
Inirida,88,CO,1554540777,86,3.87,-67.92,76.93,1.28
San Policarpo,0,PH,1554540777,86,12.18,125.51,82.42,10.11
Alofi,68,NU,1554537600,100,-19.06,-169.92,77.0,1.12
Kombissiri,0,BF,1554537600,38,12.07,-1.34,91.4,4.7
Torbay,5,CA,1554540502,73,47.66,-52.73,26.01,21.92
Airai,24,TL,1554540778,55,-8.93,125.41,80.08,1.95
Hasaki,20,JP,1554540763,67,35.73,140.83,63.0,12.75
Aklavik,5,CA,1554537600,60,68.22,-135.01,10.4,9.17
Bambanglipuro,92,ID,1554540779,100,-7.95,110.28,76.21,4.18
Huaicheng,24,CN,1554540780,77,23.91,112.19,76.12,4.41
Dzilam Gonzalez,0,MX,1554540780,75,21.28,-88.93,76.39,6.53
Vilyuysk,0,RU,1554540780,49,63.75,121.63,37.06,2.62
Saint George,90,GR,1554540225,93,39.45,22.34,55.99,5.82
Staryy Nadym,80,RU,1554540781,88,65.61,72.68,27.07,20.07
Fonte Boa,64,BR,1554540781,96,-2.51,-66.09,76.03,2.73
San Pedro,56,AR,1554540349,91,-33.68,-59.66,51.01,3.96
Murgab,0,TM,1554537600,47,37.5,61.97,77.0,11.41
Tura,20,IN,1554540783,81,25.52,90.21,80.98,3.96
Otjimbingwe,0,NA,1554540784,78,-22.35,16.13,70.81,4.18
Haines Junction,68,CA,1554540784,90,60.75,-137.51,16.9,1.72
Mitsamiouli,48,KM,1554540784,93,-11.38,43.28,85.48,6.2
Axintele,90,RO,1554540735,61,44.61,26.76,51.01,14.99
Faanui,88,PF,1554540785,97,-16.48,-151.75,85.84,16.6
Las Palmas,76,PE,1554540786,84,-6.53,-76.35,76.75,1.72
Neya,0,RU,1554540786,89,58.29,43.89,44.8,6.98
Boden,90,SE,1554538800,85,65.83,21.69,32.0,1.12
Black River,75,JM,1554540367,69,18.03,-77.85,77.0,1.12
Artesia,20,US,1554540427,23,32.84,-104.4,69.8,14.99
Natal,40,BR,1554537600,88,-5.81,-35.21,77.0,5.82
Manokwari,92,ID,1554540548,99,-0.87,134.08,81.88,8.99
Comodoro Rivadavia,0,AR,1554537600,45,-45.87,-67.48,64.4,13.87
Avarua,20,CK,1554539400,78,-21.21,-159.78,75.2,6.93
Kropotkin,0,RU,1554540317,68,45.43,40.58,61.0,16.15
Vanimo,0,PG,1554540788,97,-2.67,141.3,84.22,13.69
Stari Bohorodchany,90,UA,1554537600,75,48.84,24.53,44.6,15.66
Dunmore Town,0,BS,1554540765,99,25.5,-76.65,76.3,8.1
Dekar,0,BW,1554540790,63,-21.53,21.93,76.57,5.97
Kualakapuas,40,ID,1554537600,74,-3.01,114.39,86.0,5.82
Awbari,20,LY,1554540790,46,26.59,12.77,75.49,5.64
Virginia Beach,90,US,1554540724,93,36.85,-75.98,55.99,9.17
Coos Bay,75,US,1554540616,81,43.37,-124.22,48.99,6.93
Sechura,0,PE,1554540791,90,-5.56,-80.82,68.83,5.75
Beringovskiy,12,RU,1554540791,78,63.05,179.32,12.58,6.42
Luanda,75,AO,1554537600,88,-8.83,13.24,80.6,4.7
Awjilah,0,LY,1554540792,61,29.14,21.3,78.55,11.01
Canutama,0,BR,1554540792,93,-6.53,-64.38,76.66,2.39
Dunda,36,IN,1554540793,100,30.62,78.32,54.7,1.61
Joacaba,92,BR,1554540793,99,-27.18,-51.5,59.83,2.73
Lithgow,0,AU,1554540725,64,-33.48,150.16,75.2,6.93
Okitipupa,12,NG,1554540793,75,6.5,4.78,86.92,3.74
Beira,75,ES,1554540775,93,43.2,-8.36,48.99,10.29
Canavieiras,88,BR,1554540794,93,-15.68,-38.95,77.83,1.61
Hualmay,32,PE,1554540794,95,-11.1,-77.61,64.78,2.95
Kloulklubed,75,PW,1554540600,88,7.04,134.26,80.6,8.05
Sorland,20,NO,1554539400,60,67.67,12.69,41.0,8.05
Salta,0,AR,1554537600,93,-24.79,-65.41,48.2,2.39
Naze,40,NG,1554537600,88,5.43,7.07,82.4,2.24
Mudanjiang,76,CN,1554540796,58,44.58,129.6,38.23,6.42
Freeport,0,BS,1554540796,97,26.54,-78.7,76.03,7.31
Alice Springs,0,AU,1554537600,22,-23.7,133.88,89.6,14.99
Cayenne,92,GF,1554537600,94,4.94,-52.33,75.2,9.78
Touros,40,BR,1554537600,100,-5.2,-35.46,75.2,4.7
Ormara,8,PK,1554540798,59,25.21,64.64,87.1,17.38
Peachland,90,CA,1554537623,81,49.77,-119.75,44.6,5.82
Liwale,64,TZ,1554540798,56,-9.8,37.92,86.92,3.96
Lompoc,90,US,1554540735,87,34.64,-120.46,54.0,3.36
Marsh Harbour,0,BS,1554540799,100,26.54,-77.06,74.77,5.64
Chernyshevskiy,0,RU,1554540799,52,63.01,112.47,27.7,5.64
Porbandar,0,IN,1554540800,54,21.64,69.61,86.92,12.68
El Alto,75,BO,1554537600,69,-16.5,-68.19,33.8,3.36
Clarksburg,90,US,1554540649,100,39.24,-77.28,44.01,3.36
Tadine,0,NC,1554540801,100,-21.55,167.88,75.67,13.35
Itoman,75,JP,1554540759,69,26.12,127.67,80.6,8.05
Igarka,76,RU,1554540801,94,67.47,86.57,26.53,16.26
Maltahohe,0,NA,1554540802,23,-24.83,16.98,74.32,6.42
Newport,75,GB,1554540792,87,51.59,-3.0,48.0,13.87
Ancud,88,CL,1554537600,87,-41.87,-73.83,50.0,13.87
Kokopo,88,PG,1554540803,100,-4.34,152.27,78.82,7.65
Dodge City,1,US,1554540419,71,37.75,-100.02,63.0,17.22
Birao,0,CF,1554540804,13,10.3,22.78,97.63,14.03
Porto San Giorgio,0,IT,1554540775,62,43.18,13.79,59.0,2.24
Hobyo,0,SO,1554540804,68,5.35,48.53,86.2,10.78
Itapipoca,76,BR,1554540805,96,-3.5,-39.58,71.71,3.29
Barahona,20,DO,1554540650,100,18.21,-71.1,78.1,15.26
Umm Lajj,0,SA,1554540806,59,25.02,37.27,79.9,5.86
Usakos,0,NA,1554540806,81,-22.0,15.59,70.63,3.96
Lannion,90,FR,1554540616,93,48.73,-3.46,51.01,2.24
Tiksi,8,RU,1554540806,75,71.64,128.87,22.12,3.62
Coria,92,ES,1554540807,99,39.98,-6.54,42.37,12.91
Vila Velha,20,BR,1554541200,88,-3.71,-38.6,77.0,2.24
Mayo,90,CA,1554537600,38,63.59,-135.9,26.6,10.29
Rabo de Peixe,75,PT,1554540784,82,37.8,-25.58,59.0,18.34
Lavrentiya,0,RU,1554540808,77,65.58,-170.99,10.96,6.76
Laizhou,44,CN,1554540808,50,37.18,119.93,64.69,12.8
Panguipulli,90,CL,1554537600,100,-39.64,-72.33,37.4,0.94
Teya,5,MX,1554540441,78,21.05,-89.07,77.0,10.29
Waipawa,24,NZ,1554540396,87,-39.94,176.59,46.99,7.2
Hammerfest,75,NO,1554538800,64,70.66,23.68,35.6,26.4
Zhangye,68,CN,1554540810,55,38.94,100.46,59.38,11.45
Tateyama,75,JP,1554540602,24,36.66,137.31,59.0,8.05
Isabela,24,PH,1554540811,93,10.2,122.99,79.72,2.95
Baykit,56,RU,1554540811,75,61.68,96.39,32.92,10.0
Saldanha,92,PT,1554540811,99,41.42,-6.55,39.4,15.03
Christchurch,76,NZ,1554540619,87,-43.53,172.64,44.01,5.82
Nago,75,IT,1554540798,81,45.88,10.89,55.0,8.05
Aden,20,YE,1554540812,95,12.79,45.03,81.52,16.82
Nyaunglebin,0,MM,1554540813,28,17.95,96.73,100.51,4.52
Matara,12,PE,1554540813,81,-13.74,-72.9,29.95,2.39
Katsuura,20,JP,1554539704,59,33.93,134.5,69.8,12.75
Santa Cruz,1,US,1554540603,93,36.97,-122.03,55.0,2.06
Guerrero Negro,92,MX,1554540816,94,27.97,-114.04,60.37,8.77
Diplo,0,PK,1554540816,28,24.47,69.59,105.28,9.78
La Paz,0,MX,1554540433,71,24.15,-110.32,48.99,2.84
Houlton,90,US,1554540507,92,46.13,-67.84,30.99,8.05
Dudinka,76,RU,1554540817,94,69.41,86.18,23.92,10.22
Fort Portal,12,UG,1554540817,78,0.66,30.28,76.93,1.39
Warri,92,NG,1554540593,89,5.52,5.75,83.77,4.97
Jardim,88,BR,1554540818,96,-21.48,-56.15,61.18,10.45
Nisia Floresta,40,BR,1554537600,88,-6.09,-35.21,77.0,5.82
The Valley,40,AI,1554540446,73,18.22,-63.06,77.0,12.75
Atar,0,MR,1554540819,41,20.52,-13.05,63.25,11.45
Flin Flon,8,CA,1554540819,72,54.77,-101.88,18.52,2.39
Ariano Irpino,0,IT,1554540785,67,41.15,15.09,62.6,4.7
Lasem,75,ID,1554535800,100,-6.99,112.52,77.0,20.8
Loa Janan,32,ID,1554540820,88,-0.58,117.09,82.42,2.73
Bilma,0,NE,1554540820,13,18.69,12.92,100.78,9.78
Senneterre,90,CA,1554537600,100,48.39,-77.24,30.2,6.93
San Felipe,0,CL,1554540802,61,-32.75,-70.73,64.0,4.18
Ormond Beach,40,US,1554540610,93,29.29,-81.06,68.0,3.96
Bara,24,NG,1554540822,36,10.41,10.6,96.37,13.47
Homestead,20,US,1554540640,88,25.47,-80.48,75.99,7.2
Gorontalo,44,ID,1554540823,77,0.54,123.06,81.34,2.95
Medicine Hat,40,CA,1554540813,76,50.04,-110.68,48.2,10.29
Omsukchan,24,RU,1554540823,76,62.53,155.8,19.78,2.62
Adrar,0,DZ,1554537600,39,27.87,-0.29,66.2,16.11
San Patricio,64,PY,1554540824,85,-26.98,-56.83,63.16,5.41
Saint-Georges,92,CA,1554540453,95,46.12,-70.67,33.01,7.2
Arman,88,RU,1554540825,69,59.7,150.17,35.26,4.74
Kidal,0,ML,1554540825,20,18.44,1.41,85.66,13.69
Fortuna,0,ES,1554540798,58,38.18,-1.13,60.01,3.36
Zavyalovo,0,RU,1554537600,25,54.51,82.45,50.0,15.66
Qaqortoq,76,GL,1554537000,25,60.72,-46.03,41.0,23.04
Lakes Entrance,48,AU,1554540808,74,-37.88,147.99,63.0,1.01
Aguia Branca,44,BR,1554540827,94,-18.98,-40.74,69.1,0.6
Troitsko-Pechorsk,12,RU,1554540827,59,62.71,56.19,35.08,4.07
Port Macquarie,20,AU,1554540605,73,-31.43,152.91,71.6,6.93
Mareeba,40,AU,1554540497,74,-16.99,145.42,78.8,14.99
Bonthe,64,SL,1554540828,80,7.53,-12.5,84.22,2.73
Yar-Sale,76,RU,1554540828,91,66.83,70.83,28.6,28.45
Ikere,36,NG,1554540828,80,7.49,5.23,83.86,8.66
Dagohoy,75,PH,1554537600,74,9.89,124.27,84.2,11.41
Malaya Vishera,0,RU,1554540829,39,58.85,32.22,54.43,3.74
Port Hedland,0,AU,1554537600,28,-20.31,118.58,95.0,14.99
Malartic,90,CA,1554537600,100,48.14,-78.13,30.2,6.93
Mandalgovi,8,MN,1554540830,63,45.76,106.27,51.01,11.79
Cam Ranh,20,VN,1554537600,62,11.92,109.15,87.8,12.75
Redwater,1,CA,1554540802,74,53.95,-113.11,39.99,11.41
Tuatapere,0,NZ,1554540604,76,-46.13,167.69,46.0,3.96
Vostok,92,RU,1554540831,73,46.45,135.83,32.92,2.73
Mehamn,80,NO,1554540832,88,71.03,27.85,32.92,17.27
Kadom,80,RU,1554540832,89,54.57,42.47,40.84,9.33
Juba,0,EE,1554540618,31,57.82,26.93,54.0,5.82
Imbituba,75,BR,1554537600,73,-28.24,-48.67,71.6,11.41
Qianan,36,CN,1554540833,32,44.99,124.06,47.05,15.37
Dickinson,90,US,1554540757,93,46.88,-102.79,41.0,16.11
Chiredzi,80,ZW,1554540834,80,-21.05,31.67,77.11,9.22
Kijang,0,KR,1554537600,48,35.24,129.21,62.6,16.11
